plot,code
LFR04,SCUBRI
LFR04,TRADUB
LFR04,ERYCAP
LFR04,TRAOCC
HC01,APOAND
HC01,QUEGAM
HC01,CEAFEN
HC01,COLPAR
HC01,TAROFF
HC01,BROTEC
HC01,CIRARV
HC01,ERICAN
HC01,CAREX
HC01,LACCER
HC01,CAMPET
HC01,HARTRA
HC01,ACHMIL
HC01,HETCIL
HC01,PENVIR
HC01,PHAHET
HC01,DRYFIS
HC01,SENINT
HC01,DRAPAR
HC01,UNKF2
HC01,ERIEFF
HC01,UNKF3
LC07,CARNUT
LC07,ALYSIM
LC07,ARTFRI
LC07,QUEGAM
LC07,SCUBRI
LC07,BROTEC
LC07,TRAOCC
LC07,ERIFLA
LC07,ARTLUD
LC07,CAREX
LC07,DRISUB
LC07,ASTPAR
LC07,ELYSMI
LC07,CERMON
LC07,PENVIR
LC07,CHEALB
LC07,MAHREP
LC07,BOUCUR
LC07,BOESTR
LC07,KOEMAC
LC07,POABUL
LFR01,MERCIL
LFR01,CLAPER
LFR01,CAMPET
LFR01,ARNCOR
LFR01,CAREX
LFR01,LACCER
LFR01,TAROFF
LFR01,QUEGAM
LFR01,COLPAR
LFR01,ABICON
LFR01,GAYDIF
LFR01,PENVIR
LFR01,CIRARV
LFR01,VIOADU
LFR01,ALYSIM
LFR01,RIBMON
LFR01,MAHREP
LFR01,ERICAN
LFR01,GALAPA
LFR01,UNKF3
LFR01,NOCFEN
LFR01,THEMON
LFR01,PHAHET
LC02,OPUPOL
LC02,ALYSIM
LC02,CERMON
LC02,CAREX
LC02,BROTEC
LC02,HETVIL
LC02,QUEGAM
LC02,MAHREP
LC02,HESCOM
LC02,THERHO
LC02,SCUBRI
LC02,TRAOCC
LC02,PENVIR
LC02,SENINT
LC02,GALAPA
LC02,VERTHA
LC02,ELYSMI
LC02,CERARV
HC04,QUEGAM
HC04,LATLAN
HC04,RIBMON
HC04,PHAHET
HC04,BROTEC
HC04,CARMIC
HC04,CAREX
HC04,VERTHA
HC04,SENINT
HC04,TAROFF
HC04,MAHREP
HC04,GALBOR
HC04,LACCER
HC04,BOESTR
HC04,MERCIL
MFR01,CARNUT
MFR01,QUEGAM
MFR01,BOESTR
MFR01,GALAPA
MFR01,GALBOR
MFR01,BROINE
MFR01,BROTEC
MFR01,CARMIC
MFR01,TAROFF
MFR01,LACCER
MFR01,MAHREP
MFR01,PRUVIR
MFR01,VERTHA
MFR01,ASTPAR
MFR01,THERHO
MFR01,APOAND
MFR01,COLLIN
MFR01,CAREX
MFR03,LACCER
MFR03,GALAPA
MFR03,MAISTE
MFR03,QUEGAM
MFR03,PRUVIR
MFR03,MAHREP
MFR03,ROSWOO
MFR03,CAREX
MFR03,BROINE
MFR03,SYMALB
MFR03,GERBIC
MFR03,TAROFF
MFR03,LIGPOR
MFR03,LATLAN
MFR03,THERHO
MFR03,BROTEC
MFR03,PHAHET
MFR03,CARNUT
MC03,POAPRA
MC03,LIGPOR
MC03,QUEGAM
MC03,LACCER
MC03,TAROFF
MC03,DRAPAR
MC03,ROSWOO
MC03,THERHO
MC03,GALAPA
MC03,MAHREP
MC03,PRUVIR
MC03,HYDFEN
MC03,BROINE
MC03,BOESTR
LC01,GALAPA
LC01,GALBOR
LC01,PSEJAM
LC01,VERTHA
LC01,MERCIL
LC01,CAMPET
LC01,CLAPER
LC01,LACCER
LC01,BROTEC
LC01,BROINE
LC01,CIRARV
LC01,QUEGAM
LC01,MAIRAC
LC01,LATLAN
LC01,ACEGLA
LC01,SYMALB
LC01,PRUVIR
LC01,MAHREP
LC01,VIOADU
LC01,TAROFF
LC01,AQUCER
LC01,ARNCOR
LC01,CORAUR
LC01,LIGPOR
LC01,RIBMON
UC06,PSEMEN
UC06,QUEGAM
UC06,CAREX
UC06,APOAND
UC06,PENVIR
UC06,CERARV
UC06,GERBIC
UC06,ACHMIL
UC06,CAMPET
UC06,POAPRA
UC06,HETVIL
UC06,ALYSIM
UC06,PSEJAM
UC06,SENINT
UC06,MAHREP
UC03,PSEMEN
UC03,CAREX
UC03,MAHREP
UC03,GOOOBL
UC03,LIGPOR
UC03,PENVIR
UC07,ANTENNARIA
UC07,CAREX
UC07,PSEMIC
UC07,PINPON
UC07,POAPRA
UC07,QUEGAM
UC07,HETVIL
UC07,ACHMIL
UC07,SENINT
UC07,ARTLUD
UC07,SCUBRI
UC07,DRYFIS
UC07,ALLCER
UC07,NOCFEN
UC07,BROTEC
UC04,GOOOBL
UC04,MAHREP
UC04,BROINE
UC04,CAREX
UC04,JUNCOM
UC04,TAROFF
UC04,MAISTE
UC04,LIGPOR
UC04,OSMDEP
UC04,PSEMEN
UC04,SYMALB
UC04,PSEJAM
UC04,MERCIL
UC04,ORYASP
UFR05,VERTHA
UFR05,MAISTE
UFR05,JUNCOM
UFR05,GALAPA
UFR05,GALBOR
UFR05,ORYASP
UFR05,ARNCOR
UFR05,MAHREP
UFR05,BROINE
UFR05,BROTEC
UFR05,LIGPOR
UFR05,VIOAUD
UFR05,QUEGAM
UFR05,SYMLAE
UFR05,CAMPET
UFR05,TAROFF
UFR05,ANTENNARIA
UFR05,SYMALB
UC01,MAHREP
UC01,CAREX
UC01,LIGPOR
UC01,OSMDEP
UC01,CYNOFF
UC01,ORYASP
UC01,BROINE
UC01,MAISTE
UC01,SYMALB
UC01,AQUCER
UC01,GALAPA
UC01,GALBOR
UC01,PSEJAM
UC01,QUEGAM
UC01,ARNCOR
UC01,POAPRA
UC01,LACCER
UC01,CAMPET
UFR07,MAHREP
UFR07,CAREX
UFR07,PSEMEN
UFR07,SYMALB
UFR07,LIGPOR
UFR07,PRUVIR
UFR07,ORYASP
UFR07,QUEGAM
UFR07,CLAPER
UFR07,MAISTE
UC05,PSEMEN
UC05,CAREX
UC05,ORYASP
UC05,MAHREP
UC05,ARNCOR
UC05,CORMAC
UC05,SYMALB
UC05,MAISTE
UC05,UNKF5
UC05,AMEALN
UC05,POAPRA
UC05,QUEGAM
UC05,GALAPA
UC05,PSEJAM
UC05,DACGLO
UC05,LIGPOR
UFR06,PRUVIR
UFR06,QUEGAM
UFR06,SYMALB
UFR06,MAISTE
UFR06,CAREX
UFR06,ORYASP
UFR06,LIGPOR
UFR06,JUNOST
UFR06,JUNCOM
UFR06,ROSWOO
UFR06,VETHA
UFR06,BROINE
UFR06,COLPAR
UFR06,TAROFF
UFR06,SENINT
LFR06,QUEGAM
LFR06,BROTEC
LFR06,CLARUB
LFR06,PENVIR
LFR06,SCUBRI
LFR06,LACCER
LFR06,SONASP
LFR06,CAREX
LFR06,SENINT
LFR06,ALLCER
LFR06,YUCGLA
LFR06,ARTLUD
LFR06,SYMALB
LFR06,GALAPA
LFR06,BROINE
LFR06,CAMPET
LFR06,PINPON
LFR06,DELNUT
HC03,BROTEC
HC03,TRIAES
HC03,CIRARV
HC03,LACCER
HC03,QUEGAM
HC03,CLARUB
HC03,COLPAR
HC03,COLLIN
HC03,CAREX
HC03,ERICAN
HC03,GALAPA
HC03,CHEALB
HC03,VERTHA
HC03,BOESTR
HC03,SONASP
HC03,MERCIL
HC03,MAHREP
HC03,SENINT
HC03,CAMPET
HC03,PHAHET
HFR07,APOAND
HFR07,GAYDIF
HFR07,ERICAN
HFR07,PENVIR
HFR07,CLARUB
HFR07,TRIAES
HFR07,BROTEC
HFR07,SENINT
HFR07,CAREX
HFR07,LACCER
HFR07,QUEGAM
HFR07,IPOAGR
HFR07,SCUBRI
HFR07,CIRARV
HFR07,BOUSTR
HFR07,BROINE
HFR07,GRIALP
HFR07,VERTHA
HFR07,COLPAR
HFR07,PRUVIR
HFR07,TAROFF
HFR07,GALAPA
HFR07,CORAUR
HFR07,CARNUT
HFR07,PHAHET
HFR07,MERCIL
HFR07,THEMON
HFR07,OSMDEP
HFR04,ACHMIL
HFR04,QUEGAM
HFR04,CAMPET
HFR04,COLLIN
HFR04,TRIAES
HFR04,BROTEC
HFR04,COLPAR
HFR04,COLLIN
HFR04,CLARUB
HFR04,LACCER
HFR04,CARNUT
HFR04,SCUBRI
HFR04,PENSTE
HFR04,ERICAN
HFR04,GAYDIF
HFR04,CHEALB
HFR04,PENVIR
HFR04,HETVIL
HFR04,TAROFF
HFR04,UNKF3
HFR04,POACOM
HFR05,PENSEC
HFR05,TRIAES
HFR05,ERIGLA
HFR05,CAREX
HFR05,ERICAN
HFR05,APOAND
HFR05,BROTEC
HFR05,BROINE
HFR05,HETVIL
HFR05,ACHMIL
HFR05,LACCER
HFR05,POASEC
HFR05,PENVIR
HFR05,QUEGAM
HFR05,UNKF3
HFR05,GAYDIF
HFR05,HARTRA
HFR05,SCUBRI
HFR05,GERBIC
HFR05,CEAFEN
HFR05,COLPAR
MC02,POACOM
MC02,ACHMIL
MC02,HETVIL
MC02,BROTEC
MC02,ERICAN
MC02,CHAANG
MC02,CAREX
MC02,MERCIL
MC02,CAMPET
MC02,CARNUT
MC02,RUBIDA
MC02,CLARUB
MC02,BROINE
MC02,PENVIR
MC02,SENINT
MC02,LACCER
MC02,CEAFEN
MC02,COLPAR
MC02,PSEJAM
MC02,ERIGLA
MC02,TAROFF
HFR03,BROTEC
HFR03,ERICAN
HFR03,TAROFF
HFR03,LACCER
HFR03,ACHMIL
HFR03,CEAFEN
HFR03,CHEALB
HFR03,RHEHYB
HFR03,GERBIC
HFR03,HETVIL
HFR03,GAYDIF
HFR01,MAHREP
HFR01,ERICAN
HFR01,LACCER
HFR01,QUEGAM
HFR01,SENERE
HFR01,OENSUG
HFR01,ALLCER
HFR01,TAROFF
HFR01,PENVIR
HFR01,SCUBRI
HFR01,APOAND
HFR01,ERIEFF
HFR01,DRYFIS
HFR01,ELYELY
HFR01,CEAFEN
HFR01,TRIAES
HFR01,HETVIL
HFR01,CAREX
HFR01,ACHMIL
HFR01,BROTEC
HFR01,POASEC
HFR01,GAYDIF
HFR01,COLPAR
MFR04,CERMON
MFR04,QUEGAM
MFR04,CAMPET
MFR04,BROINE
MFR04,LATLAN
MFR04,SENINT
MFR04,GRIALP
MFR04,ACHMIL
MFR04,GALBOR
MFR04,PSEJAM
MFR04,TAROFF
MFR04,LACCER
MFR04,CAREX
MFR04,POACOM
MFR04,ARNCOR
MFR04,MAHREP
MFR04,AMEALN
MFR04,ANTANA
MFR04,SYMALB
MFR04,GALAPA
MFR04,DRYFIS
MFR04,CERARV
MFR04,NOCFEN
MFR04,PENSTR
MC07,LATLAN
MC07,CAREX
MC07,GALAPA
MC07,SCUBRI
MC07,QUEGAM
MC07,PSEJAM
MC07,ACHMIL
MC07,POACOM
MC07,CARNUT
MC07,MAHREP
MC07,APOAND
MC07,CARMIC
MC07,ALYSIM
MC07,SENINT
MC07,BOESTR
MC07,TRADUB
MC07,LUPARG
MC07,PRUVIR
MC07,BROTEC
MC07,CAMPET
MC07,COLLIN
MC07,TAROFF
MC07,POASEC
MC07,LACCER
MC07,BROINE
LC05,QUEGAM
LC05,GALAPA
LC05,SYMALB
LC05,VERTHA
LC05,GALAPA
LC05,CAREX
LC05,LATLAN
LC05,MAHREP
LC05,DESPIN
LC05,LACCER
LC05,BROINE
LC05,PRUVIR
LC05,RUMCRI
LC05,ELLNYC
LC05,BROTEC
LC05,ROSWOO
LC05,COLLIN
LC05,BOESTR
LC05,TAROFF
HC06,MAHREP
HC06,QUEGAM
HC06,LATLAN
HC06,SYMALB
HC06,CERARV
HC06,GALAPA
HC06,SENINT
HC06,LACCER
HC06,TAROFF
HC06,ROSWOO
HC06,ERICAN
HC06,DRYFIS
HC06,COLRUB
HC06,ROSWOO
HC06,PHAHET
HC06,CARNUT
HC06,BOESTR
HC06,CAMPET
HC06,POACOM
HC06,CARMIC
HC06,ALYSIM
HC06,DESPIN
MC05,MERCIL
MC05,ERICAN
MC05,COLLIN
MC05,CAREX
MC05,COLPAR
MC05,PHASER
MC05,LATLAN
MC05,APOAND
MC05,QUEGAM
MC05,ERIGLA
MC05,CLARUB
MC05,HESCOM
MC05,LACCER
MC05,BROTEC
MC05,BROINE
MC05,GERBIC
MC05,MAHREP
MC05,UNKG1
MC05,CARNUT
MC05,SENFRE
MC05,PENVIR
MC05,ALLCER
MC05,CAMPET
MC05,CEAFEN
MC05,HETVIL
MC05,KOEMAC
MC05,DRYFIS
MC05,TAROFF
MC05,SENINT
MC05,SILANT
MC05,SILACA
MC05,CHAANG
MC05,VERTHA
MC05,POLPUL
MC05,PSEJAM
MC05,CLARUB
MC05,ERICAN
MC05,LIGPOR
MC05,CHEALB
MC05,HETVIL
MC05,RUBIDA
MC05,SOLSIM
MC05,ANTENNARIA
LFR07,ERIUMB
LFR07,UNKG1
LFR07,SEDLAN
LFR07,HETVIL
LFR07,CERARV
LFR07,PENVIR
LFR07,CAMPET
LFR07,GERBIC
LFR07,HEUPAR
LFR07,HARTRA
LFR07,ALLCER
LFR07,LATLAN
LFR07,BROINE
LFR07,QUEGAM
LFR07,JUNOST
LFR07,PINPON
LFR07,PSEMEN
LFR07,PHAHET
LFR07,LACCER
LFR07,CEAFEN
LFR07,BROTEC
LFR07,ACHMIL
LFR07,VERTHA
LFR07,SILANT
LFR07,GAYDIF
LFR07,COLLIN
LFR07,GALAPA
LFR07,ELYSMI
LFR07,PSEJAM
LFR07,ALYSIM
HFR06,LACCER
HFR06,ERICAN
HFR06,CLARUB
HFR06,TRIAES
HFR06,BROTEC
HFR06,CAMPET
HFR06,CEAFEN
HFR06,HARTRA
HFR06,SEDLAN
HFR06,QUEGAM
HFR06,COLPAR
HFR06,CARNUT
HFR06,SILANT
HFR06,COLLIN
HFR06,ARTLUD
HFR06,BOESTR
HFR06,CHAANG
HFR06,ERIGLA
HFR06,VERTHA
HFR06,KOEMAC
HFR06,APOAND
HFR06,LAESCH
HFR06,SENFRE
HFR06,ALYSIM
HFR06,DRYFIS
HFR06,RUBIDA
HFR06,SENINT
HFR06,ACHMIL
HC07,MAHREP
HC07,APOAND
HC07,COLLIN
HC07,LACCER
HC07,CLAPAR
HC07,TRIAES
HC07,ERICAN
HC07,VERTHA
HC07,BROTEC
HC07,EROCIC
HC07,TAROFF
HC07,GALAPA
HC07,CAMPET
HC07,COLPAR
HC07,SILANT
HC07,ALYSIM
HC07,BROINE
HC07,GAYDIF
HC07,GERBIC
HC07,PSEJAM
HC07,HESCOM
HC07,QUEGAM
HC07,CYNOFF
HC07,ACHMIL
HC07,POACOM
HC07,CHEALB
HC07,UNKF6
HC07,DESPIN
HC07,SCUBRI
MC06,BROTEC
MC06,ACHMIL
MC06,HETVIL
MC06,CARNUT
MC06,BROINE
MC06,ERIFLA
MC06,TAROFF
MC06,LACCER
MC06,QUEGAM
MC06,CHEALB
MC06,ERICAN
MC06,ELYSMI
MC06,POASEC
MC06,GAYDIF
MC06,DRAAUR
MC06,TRIAES
MC06,COLPAR
MC06,MERCIL
MC06,SENINT
MC06,DACGLO
MC06,PENVIR
MC06,SILANT
MC06,CHAANG
MC06,GAYDIF
MFR02,BROTEC
MFR02,ALYSIM
MFR02,COLLIN
MFR02,CAMPET
MFR02,ACHMIL
MFR02,MAHREP
MFR02,QUEGAM
MFR02,GALAPA
MFR02,CLARUB
MFR02,ASTPAR
MFR02,LACCER
MFR02,PSEJAM
MFR02,COLPAR
MFR02,THAFEN
MFR02,ELYSMI
MFR02,GAYDIF
MFR02,ARNLAT
MFR02,MERCIL
MFR02,SENINT
MFR02,VERTHA
MFR02,PHAHET
MFR02,BOESTR
MFR02,PENINT
MFR02,ARTLUD
MFR02,GRISUB
MFR02,CARMIC
MFR02,TRIAES
MFR02,TRAOCC
LFR03,CLAPAR
LFR03,OSMDEP
LFR03,PINPON
LFR03,BROTEC
LFR03,LACCER
LFR03,VERTHA
LFR03,GALAPA
LFR03,CAREX
LFR03,MAHREP
LFR03,GERBIC
LFR03,SENTRI
LFR03,CARNUT
LFR03,MEDLUP
LFR03,TAROFF
LFR03,CHAANG
LFR03,ERICAN
LC06,VERTHA
LC06,BROINE
LC06,PHAHET
LC06,LIGPOR
LC06,ACEGLA
LC06,AQUCER
LC06,RUMCRI
LC06,CLARUB
LC06,OSMDEP
LC06,MAHREP
LC06,CARNUT
LC06,GALAPA
LC06,MAISTE
LC06,QUEGAM
LC06,CYNOFF
LC06,POACOM
LC06,SCUBRI
LC06,COLLIN
LC06,MERCIL
LC06,CAMPET
LC06,SENTRI
LC06,TRADUB
LC06,GERBIC
LC06,EROCIC
LFR05,CAMPET
LFR05,QUEGAM
LFR05,DRYFIS
LFR05,COLLIN
LFR05,APOAND
LFR05,CAREX
LFR05,SENINT
LFR05,HARTRA
LFR05,ACHMIL
LFR05,SCUBRI
LFR05,BROTEC
LFR05,GAYDIF
LFR05,PSEJAM
LFR05,CLARUB
LFR05,ERICAN
LFR05,LACCER
LFR05,HESCOM
LFR05,HETVIL
LFR05,GAYDIF
LFR05,TAROFF
LFR05,GERBIC
LC03,SENINT
LC03,PSEJAM
LC03,MAHREP
LC03,OSMDEP
LC03,CLAPAR
LC03,BROINE
LC03,BROTEC
LC03,CAMPET
LC03,QUEGAM
LC03,LIGPOR
LC03,CARNUT
LC03,GAYDIF
LC03,ROSWOO
LC03,ACEGLA
LC03,SYMALB
LC03,SENTRI
LC03,PHAHET
LC03,GERBIC
UFR01,ORYASP
UFR01,ACEGLA
UFR01,MAHREP
UFR01,GALAPA
UFR01,PSEMEN
UFR01,SYMALB
UFR01,PSEJAM
UFR01,LIGPOR
UFR01,OSMDEP
UFR01,SENINT
UFR01,CLAPAR
UFR01,PHAHET
UFR01,SENTRI
UFR01,CYSFRA
UFR01,MAISTE
UFR01,RIBMON
UFR01,RUBIDA
UFR01,CAMPET
UC02,MAHREP
UC02,MERCIL
UC02,MAISTE
UC02,CAREX
UC02,QUEGAM
UC02,SYMALB
UC02,BROTEC
UC02,PSEMEN
UC02,JUNOST
UC02,JAMAME
UC02,GERBIC
UC02,TAROFF
UC02,SENINT
UC02,CYNOFF
UC02,APOAND
UC02,DELNUT
UFR03,PRUVIR
UFR03,CAREX
UFR03,LIGPOR
UFR03,OSMDEP
UFR03,CYNOFF
UFR03,MAHREP
UFR03,GALAPA
UFR03,CIRARV
UFR03,BROTEC
UFR03,MAISTE
UFR03,ORYASP
UFR03,CLAPAR
UFR03,ARNCOR
UFR03,MAISTE
UFR03,TAROFF
UFR03,PSEMEN
UFR02,VERTHA
UFR02,OSMDEP
UFR02,LIGPOR
UFR02,MAHREP
UFR02,CAMPET
UFR02,MERCIL
UFR02,MAISTE
UFR02,QUEGAM
UFR02,CYNOFF
UFR02,CAREX
UFR02,ORYASP
UFR02,JAMAME
UFR02,CLAPAR
UFR02,GALAPA
UFR02,TAROFF
UFR02,ARNCOR
UFR02,SENINT
UFR02,LACCER
UFR02,ACEGLA
UFR02,PSEJAM
UFR02,BROINE
HFR02,ERICAN
HFR02,BROTEC
HFR02,LACCER
HFR02,QUEGAM
HFR02,CEAFEN
HFR02,GAYDIF
HFR02,CHEALB
HFR02,COLPAR
HFR02,HESCOM
HFR02,LAESCH
HFR02,ARTLUD
HFR02,CAMPET
HFR02,VERTHA
HFR02,ACHMIL
HFR02,CAREX
HFR02,PHAHET
HFR02,MERCIL
HFR02,CLARUB
